id,name,course_type_id/id,area_id/id,code,evaluation_type,fees_term_id/id,company_id/id,lang,is_imported_record
op_course_0121,FUNDAMENTOS NA LEI GERAL DE PROTEÇÃO DE DADOS - LGPDF ™,op_course_type_0009,op_area_course_0028,LG,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0123,DESIGN THINKING PROFESSIONAL CERTIFICATE - DTPC,op_course_type_0009,op_area_course_0028,DT,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0124,DESIGN SPRINT CERTIFICATION CPDSC™,op_course_type_0009,op_area_course_0028,CPD,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0125,AGILE COACH PROFESSIONAL CERTIFICATE - ACPC™,op_course_type_0009,op_area_course_0028,ACP,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0126,INNOVATION MANAGEMENT CERTIFIED PROFESSIONAL - IMCP™,op_course_type_0009,op_area_course_0028,IMC,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0127,REMOTE WORK AND VIRTUAL COLLABORATION RWVCPC™,op_course_type_0009,op_area_course_0028,RWV,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0128,BLOCKCHAIN PROFESSIONAL CERTIFICATE - BCPC®,op_course_type_0009,op_area_course_0028,BCP,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0129,BIG DATA PROFESSIONAL CERTIFICATE BDPC,op_course_type_0009,op_area_course_0028,BDP,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0130,ARTIFICIAL INTELLIGENCE PROFESSIONAL CERTIFICATE - CAIPC™,op_course_type_0009,op_area_course_0028,CAI,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0131,DIGITAL MARKETING PROFESSIONAL CERTIFICATE - DMPC™,op_course_type_0009,op_area_course_0028,DMP,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0132,AGILE HR PROFESSIONAL CERTIFICATE - AHRCP™,op_course_type_0009,op_area_course_0028,AHR,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0134,BUSINESS MODEL GENERATION PRACTITIONER BMGENP™,op_course_type_0009,op_area_course_0028,BMG,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0135,DEVOPS ADVANCED PROFESSIONAL CERTIFICATE DAPC™,op_course_type_0009,op_area_course_0028,DAP,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0136,LEAD CYBERSECURITY PROFESSIONAL CERTIFICATE LCSPC™,op_course_type_0009,op_area_course_0028,LCS,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0137,LEAN SIX SIGMA GREEN BELT PROFESSIONAL CERTIFICATE LSSGBPC™,op_course_type_0009,op_area_course_0028,LSS,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0138,SCRUM DEVELOPER PROFESSIONAL CERTIFICATE SDPC™,op_course_type_0009,op_area_course_0028,SDP,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0139,SERVICE DESK LEADER PROFESSIONAL CERTIFICATE SDLPC™,op_course_type_0009,op_area_course_0028,SDL,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0140,USER STORIES FOUNDATIONS CERTIFICATE USFC™,op_course_type_0009,op_area_course_0028,USF,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0141,ISO 9001 LEAD AUDITOR - I9001LA,op_course_type_0009,op_area_course_0028,I900,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0142,ISO 20000 INTERNAL AUDITOR,op_course_type_0009,op_area_course_0028,ISO2I,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0143,ISO 20000 LEAD AUDITOR,op_course_type_0009,op_area_course_0028,ISO2L,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0144,ISO 20000 FOUNDATION PROFESSIONAL CERTIFICATE,op_course_type_0009,op_area_course_0028,ISO2F,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0145,ISO 22301 INTERNAL AUDITOR,op_course_type_0009,op_area_course_0028,ISO22I,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0146,ISO 22301 LEAD AUDITOR,op_course_type_0009,op_area_course_0028,ISO22L,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0147,ISO 22301 FOUNDATION PROFESSIONAL CERTIFICATE,op_course_type_0009,op_area_course_0028,ISO22F,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0148,ISO 27001 LEAD AUDITOR,op_course_type_0009,op_area_course_0028,ISO27L,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0149,ISO 27001 INTERNAL AUDITOR,op_course_type_0009,op_area_course_0028,ISO27I,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0150,ISO 27001 CERTIFIED LEAD IMPLEMENTER,op_course_type_0009,op_area_course_0028,ISO27C,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0151,ISO 27001 FOUNDATION,op_course_type_0009,op_area_course_0028,ISO27F,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0153,MAESTRÍA EN EDUCACIÓN CON ESPECIALIDAD EN EDUCACIÓN Y DOCENCIA,,op_area_course_0021,MTDO,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0155,MAESTRÍA EN EDUCACIÓN CON ESPECIALIDAD EN EDUCACIÓN Y GESTIÓN EDUCATIVA,,op_area_course_0021,EG,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0157,MAESTRÍA EN EDUCACIÓN CON ESPECIALIDAD EN EDUCACIÓN UNIVERSITARIA,,op_area_course_0021,EU,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0158,MAESTRÍA EN EDUCACIÓN CON ESPECIALIDAD EN EDUCACIÓN BASADA EN COMPETENCIAS,,op_area_course_0021,EB,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0160,CURSO INTELIGENCIA INTERPERSONAL,op_course_type_0003,op_area_course_0009,II,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0162,MASTER EN FILOSOFIA,,op_area_course_0009,MFF,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0163,MESTRADO TESTE,op_course_type_0001,op_area_course_0006,Mestrado Teste,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0164,MAESTRÍA EN PSICOLOGÍA CLÍNICA PARA ADULTOS,op_course_type_0001,op_area_course_0009,PCONMX23ISE,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0166,ÉNFASIS EN PSICOLOGÍA CLÍNICA PARA ADULTOS,op_course_type_0001,op_area_course_0009,EA,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0167,ÉNFASIS EN PSICOLOGÍA CLÍNICA INFANTOJUVENIL,op_course_type_0001,op_area_course_0009,EJ,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0168,ÉNFASIS EN PSICOLOGÍA CLÍNICA PARA PAREJAS,op_course_type_0001,op_area_course_0009,EP,Normal,__export__.op_fees_terms_3_c7c12456,base.main_company,es_MX,True
op_course_0169,APOSTILAMENTO DE HAIA,op_course_type_0003,op_area_course_0028,HA,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0170,ESPECIALIZAÇÃO EM PSICOLOGIA CLÍNICA E DA SAÚDE,op_course_type_0004,op_area_course_0022,CO,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0171,ESPECIALIZAÇÃO EM AVALIAÇÃO E TERAPIA PSICOLÓGICA,op_course_type_0004,op_area_course_0022,LT,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0172,ESPECIALIZAÇÃO EM EDUCAÇÃO SOCIOEMOCIONAL NA INFÂNCIA E ADOLESCÊNCIA,op_course_type_0004,op_area_course_0023,IA,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0173,ESPECIALIZAÇÃO EM DIAGNÓSTICO E INTERVENÇÃO EM DISFUNÇÕES SEXUAIS,op_course_type_0004,op_area_course_0022,DD,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0174,ESPECIALIZAÇÃO EM PLANEJAMENTO EDUCACIONAL E CURRÍCULO INCLUSIVO,op_course_type_0004,op_area_course_0023,EC,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0175,ESPECIALIZAÇÃO EM PSICOLOGIA JURÍDICA E FORENSE,op_course_type_0004,op_area_course_0022,PJ,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0176,ESPECIALIZAÇÃO EM ALTAS CAPACIDADES E INTERVENÇÃO EDUCACIONAL,op_course_type_0004,op_area_course_0023,IT,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0177,ESPECIALIZAÇÃO EM INTERVENÇÃO PSICOPEDAGÓGICA E NECESSIDADES ESPECIAIS,,op_area_course_0023,NE,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0178,ESPECIALIZAÇÃO EM NEUROPSICOLOGIA APLICADA À GESTÃO DE TALENTOS,op_course_type_0004,op_area_course_0026,AG,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0179,ESPECIALIZAÇÃO EM ANÁLISE DE DADOS E TOMADA DE DECISÃO ESTRATÉGICA,,op_area_course_0025,AE,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0180,ESPECIALIZAÇÃO EM NEUROGESTÃO ESTRATÉGICA E LIDERANÇA,,op_area_course_0025,NL,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0181,ESPECIALIZAÇÃO EM GESTÃO ESTRATÉGICA DE PROJETOS E LIDERANÇA,,op_area_course_0025,PL,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0182,ESPECIALIZAÇÃO EM LINGUAGEM; COGNIÇÃO E DISTÚRBIOS DE COMUNICAÇÃO,,op_area_course_0034,NC,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0183,ESPECIALIZAÇÃO EM ATUAÇÃO INTEGRAL DO PSICÓLOGO EM ONCOLOGIA,,op_area_course_0022,AO,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
op_course_0184,ESPECIALIZAÇÃO EM NEUROPSICOLOGIA E NEUROCIÊNCIA CLÍNICA,,op_area_course_0026,RN,Normal,__export__.op_fees_terms_3_c7c12456,__export__.res_company_8_50662d8b,es_MX,True
